razon_social,anio,Eliminación,Recepción y Almacenamiento,Valorización,total,pct_valorizacion,n_declaraciones,rubro
ELECTROLUX DE CHILE S.A.,2021,534.01,0.0,0.0,534.01,0.0,3,Otras industrias manufactureras
EMBOTELLADORA ANDINA CHILE S.A.,2021,0.0,1.34,0.0,1.34,0.0,1,Otras actividades
EMBOTELLADORA ANDINA S A,2021,81.52,0.0,0.0,81.52,0.0,1,Otras industrias manufactureras
EMBOTELLADORA METROPOLITANA S.A.,2021,79.80199999999999,0.0,23.75,103.55199999999999,22.935336835599507,7,Otras industrias manufactureras
EMBOTELLADORAS CHILENAS UNIDAS S.A,2021,1258.3,2.65,2.8,1263.75,0.22156280909990106,7,Otras industrias manufactureras
EMPRESA CONSTRUCTORA INGENIEROS S A,2021,7673.3,0.0,0.0,7673.3,0.0,6,Construcción
EMPRESA DE LOS FERROCARRILES DEL ESTADO,2021,238.23000000000002,0.0,20.0,258.23,7.745033497269875,4,Otras actividades
EMPRESA DE TRANSPORTE DE PASAJEROS METRO S A,2021,45607.77,0.0,82.80000000000001,45690.57,0.18121901302610147,33,Otras actividades
EMPRESA ELECTRICA CAMPICHE S.A.,2021,0.0,0.0,18.728,18.728,100.0,1,Termoeléctricas
EMPRESA ELECTRICA PUENTE ALTO S.A.,2021,262.158,0.0,0.0,262.158,0.0,3,Otras actividades
EMPRESA ELECTRICA VENTANAS S.A,2021,0.0,0.0,18.728,18.728,100.0,1,Termoeléctricas
EMPRESAS CLORAMON S.A,2021,4.79,0.0,0.0,4.79,0.0,1,"Industria química, de plástico y caucho"
ENAP REFINERIAS S A,2021,0.0,0.0,2568.79,2568.79,100.0,2,Comercio mayorista
ENEL DISTRIBUCION CHILE S.A.,2021,27057.736,0.0,487.455,27545.191000000003,1.769655545318237,36,Otras actividades
ENEL GENERACION CHILE S.A.,2021,9.286,0.0,0.0,9.286,0.0,3,Otras centrales de generación eléctrica
ENEL GREEN POWER CHILE SA,2021,325.393,60.618,0.0,386.01099999999997,0.0,12,Otras centrales de generación eléctrica
ENEL X CHILE SPA,2021,0.0,0.0,4.647,4.647,100.0,5,Comercio minorista
ENGIE TELECOM SPA,2021,0.0,0.0,8.14,8.14,100.0,2,Otras actividades
ENVASADOS MOVIPACK CHILE SPA,2021,0.0,0.45,0.0,0.45,0.0,1,Otras actividades
ENVASES CENTRAL S A,2021,259.48,295.211,0.0,554.691,0.0,3,Otras industrias manufactureras
ENVASES Y LITOGRAFIA AGUILA S.A.,2021,0.0,0.0,80.52,80.52,100.0,1,Otras industrias manufactureras
ESCO ELECMETAL FUNDICION LIMITADA,2021,39.823,0.0,0.0,39.823,0.0,2,Otras industrias manufactureras
EUROCORP DOS S.A.,2021,4021.995,0.0,0.0,4021.995,0.0,7,Construcción
EUROCORP S A,2021,1722.06,0.0,0.0,1722.06,0.0,1,Construcción
EWOS CHILE ALIMENTOS LIMITADA,2021,2.19,0.0,0.0,2.19,0.0,1,Otras industrias manufactureras
FABRICACION VISTALIBRE LIMITADA,2021,325.14,0.0,0.0,325.14,0.0,1,Otras industrias manufactureras
FABRICACIONES METALICAS CONTAINERLAND LIMITADA,2021,150.3,0.0,0.0,150.3,0.0,1,Otras industrias manufactureras
FAI PINEDA SPA,2021,81.0,0.0,0.0,81.0,0.0,1,Otras actividades
FALABELLA INMOBILIARIO S.A,2021,30.0,0.0,0.0,30.0,0.0,1,Otras actividades
FCA PAVIMENTOS Y REVESTIMIENTOS BUDNIK HNOS S A,2021,304.86,0.0,0.0,304.86,0.0,2,Otras industrias manufactureras
FERROCARRIL DE ANTOFAGASTA A BOLIVIA,2021,0.332,0.0,0.0,0.332,0.0,1,Otras actividades
FIBROCEMENTOS VOLCAN LIMITADA,2021,2373.7,14.58,39.01,2427.29,1.607142121460559,12,Otras industrias manufactureras
FLESAN ANCLAJES S.A.,2021,0.0,0.0,0.318,0.318,100.0,1,Construcción
FOTOVOLTAICA PEUMO SPA,2021,0.0,2.36,3.9400000000000004,6.300000000000001,62.53968253968254,3,Otras centrales de generación eléctrica
FRANKLIN SPA,2021,18.0,0.0,0.0,18.0,0.0,1,Construcción
FUCHS GELLONA Y SILVA S A,2021,3017.886,0.0,0.0,3017.886,0.0,20,Construcción
FUND INSTITUTO PROFESIONAL DUOC UC,2021,9.67,0.0,0.0,9.67,0.0,2,Otras actividades
FUNDACION INVICA,2021,3802.592,0.0,0.0,3802.592,0.0,3,Otras actividades
FUNDICION VULCO LTDA,2021,34.0,0.0,0.0,34.0,0.0,1,Otras industrias manufactureras
GASCO GLP S A,2021,0.0,0.0,866.762,866.762,100.0,2,Comercio mayorista
GENERAL MOTORS CHILE INDUSTRIA AUTOMOTRIZ LIMITADA,2021,26.1,0.0,0.0,26.1,0.0,1,Ventas y mantención de vehículos automotores
GESPANIA CONSTRUCTORA S.A.,2021,2226.84,0.0,0.0,2226.84,0.0,2,Construcción
GNL QUINTERO SA,2021,43.11083,0.0,0.0,43.11083,0.0,1,Otras actividades
GOODYEAR DE CHILE S A I C,2021,0.0,1.683,582.041,583.724,99.71167880710748,5,"Industria química, de plástico y caucho"
GPG GENERACION DISTRIBUIDA SPA,2021,0.74,0.0,0.0,0.74,0.0,1,Otras centrales de generación eléctrica
GUACOLDA ENERGIA SPA,2021,33.14,0.0,0.0,33.14,0.0,1,Termoeléctricas
GUILLERMO CELENTANO CONTENEDORES PATAGONIA E.I.R.L,2021,22.01,0.0,0.0,22.01,0.0,1,Otras actividades
HARTING S A,2021,37.5675,0.0,0.0,37.5675,0.0,2,"Industria química, de plástico y caucho"
HENKEL CHILE LIMITADA,2021,0.0,7.3,10.41,17.71,58.78035008469791,2,"Industria química, de plástico y caucho"
HORMIGONES BICENTENARIO S.A.,2021,91630.27,0.0,0.0,91630.27,0.0,3,Otras industrias manufactureras
HORMISUR INEIN S A,2021,576.0,0.0,0.0,576.0,0.0,1,Construcción
HUNTER DOUGLAS CHILE S A,2021,0.0,0.0,533.86,533.86,100.0,3,Otras industrias manufactureras
I MUNICIPALIDAD LO BARNECHEA,2021,2870.8,0.0,45.1198,2915.9198,1.547360801898598,5,Construcción
IBM DE CHILE S A C,2021,0.0,0.0,1.18,1.18,100.0,2,Otras actividades
ICONEX (CHILE) SPA,2021,0.0,0.21,0.432,0.642,67.28971962616822,2,Otras industrias manufactureras
IDEA INVERSIONES INMOBILIARIAS TRES S.A.,2021,26.676,0.0,0.0,26.676,0.0,1,Construcción
IMPRESORA Y COMERCIAL FE & SER LTDA,2021,0.0,0.0,2.701,2.701,100.0,1,Otras industrias manufactureras
INDUSTRIA DE ALIMENTOS DOS EN UNO SOCIEDAD ANONIMA,2021,0.0,0.396,0.27,0.666,40.54054054054054,2,Otras industrias manufactureras
